,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
297,"Onions, raw, welsh",100 g,34,0.4g,0.1g,0,17.00 mg,5.3 mg,16.00 mcg,0.00 mcg,0.400 mg,0.169 mg,0.090 mg,0.050 mg,1160.00 IU,0,0,0,0,0,0,0.00 mcg,0.072 mg,27.0 mg,0.00 IU,0.51 mg,0.51 mg,193.4 mcg,18.00 mg,0.070 mg,1.22 mg,23.00 mg,0.137 mg,49.00 mg,212.00 mg,0.6 mcg,0.52 mg,1.90 g,0.086 g,0.137 g,0.176 g,0,0.393 g,0.094 g,0.033 g,0,0.081 g,0.113 g,0.095 g,0.021 g,0.061 g,0.126 g,0.086 g,0.074 g,0.021 g,0.055 g,0.084 g,6.50 g,2.4 g,2.18 g,0,0,0,0,0,0,0.40 g,0.067 g,0.056 g,0.156 g,0.00 mg,0.0 g,0.70 g,0.00 mg,0.00 mg,90.50 g
298,"SILK Chai, soymilk",100 g,53,1.4g,0.2g,0,41.00 mg,0,7.00 mcg,0,0,0,0.140 mg,0,123.00 IU,0,0,0,0,0,0,0.37 mcg,0,0.0 mg,33.00 IU,0,0,0,123.00 mg,0,0.44 mg,0.00 mg,0,0,123.00 mg,0.0 mcg,0.37 mg,2.47 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82 g,0.0 g,5.76 g,0,0,0,0,0,0,1.44 g,0.206 g,0,0,0.00 mg,0,0.65 g,0,0,87.62 g
299,"Rolls, rye, dinner",100 g,286,3.4g,0.6g,0,650.00 mg,14.6 mg,99.00 mcg,77.00 mcg,3.900 mg,0.383 mg,0.270 mg,0.380 mg,8.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,1.00 mcg,54.00 mcg,0,0.00 mcg,0.062 mg,0.0 mg,0.00 IU,0.34 mg,0.34 mg,3.1 mcg,30.00 mg,0.201 mg,2.70 mg,54.00 mg,0.702 mg,159.00 mg,180.00 mg,27.8 mcg,0.97 mg,10.30 g,0.362 g,0.403 g,0.532 g,0.215 g,3.231 g,0.369 g,0.224 g,0,0.396 g,0.712 g,0.282 g,0.172 g,0.510 g,1.125 g,0.512 g,0.313 g,0.119 g,0.262 g,0.468 g,53.10 g,4.9 g,1.17 g,0,0,0,0,0,0,3.40 g,0.605 g,1.236 g,0.708 g,0.00 mg,0.0 g,2.90 g,0.00 mg,0.00 mg,30.10 g
300,"Gravy, dry, au jus",100 g,313,9.6g,2g,4mg,11588.00 mg,0,81.00 mcg,0.00 mcg,4.087 mg,0.157 mg,0.324 mg,0.472 mg,10.00 IU,0.00 mcg,0,0,0,0,0,0.32 mcg,0.174 mg,1.0 mg,0,0,0,0,140.00 mg,0.120 mg,9.30 mg,56.00 mg,0.268 mg,153.00 mg,279.00 mg,6.2 mcg,0.70 mg,9.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.49 g,0,0,0,0,0,0,0,0,9.63 g,2.026 g,4.683 g,0.230 g,4.00 mg,0.0 g,30.94 g,0,0,2.74 g
301,"Cheese, neufchatel",100 g,253,23g,13g,74mg,334.00 mg,0,14.00 mcg,0.00 mcg,0.210 mg,0.575 mg,0.155 mg,0.022 mg,841.00 IU,241.00 mcg,0.00 mcg,27.00 mcg,0.00 mcg,0,0,0.30 mcg,0.041 mg,0.0 mg,0,0.40 mg,0.40 mg,1.7 mcg,117.00 mg,0.027 mg,0.13 mg,10.00 mg,0.011 mg,138.00 mg,152.00 mg,3.0 mcg,0.82 mg,9.15 g,0.283 g,0.363 g,0.794 g,0.064 g,2.013 g,0.218 g,0.270 g,0.000 g,0.501 g,1.013 g,0.875 g,0.294 g,0.448 g,1.027 g,0.577 g,0.359 g,0.106 g,0.468 g,0.609 g,3.59 g,0.0 g,3.19 g,0.00 g,0.00 g,0.00 g,3.19 g,0.00 g,0.00 g,22.78 g,12.790 g,5.784 g,0.970 g,74.00 mg,0,1.37 g,0,0,63.11 g
302,"Hummus, commercial",100 g,166,9.6g,1.4g,0,379.00 mg,0,83.00 mcg,0.00 mcg,0.582 mg,0.132 mg,0.064 mg,0.180 mg,30.00 IU,0,0,0,0,0,0,0.00 mcg,0.200 mg,0.0 mg,0.00 IU,0,0,0,38.00 mg,0.527 mg,2.44 mg,71.00 mg,0.773 mg,176.00 mg,228.00 mg,2.6 mcg,1.83 mg,7.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29 g,6.0 g,0,0,0,0,0,0,0,9.60 g,1.437 g,4.039 g,3.613 g,0.00 mg,0,1.66 g,0,0,66.59 g
303,"Croissants, butter",100 g,406,21g,12g,67mg,467.00 mg,38.8 mg,88.00 mcg,60.00 mcg,2.188 mg,0.861 mg,0.241 mg,0.388 mg,744.00 IU,206.00 mcg,0.00 mcg,38.00 mcg,1.00 mcg,74.00 mcg,0,0.16 mcg,0.058 mg,0.2 mg,0.00 IU,0.84 mg,0.84 mg,1.8 mcg,37.00 mg,0.080 mg,2.03 mg,16.00 mg,0.330 mg,105.00 mg,118.00 mg,22.7 mcg,0.75 mg,8.20 g,0.325 g,0.339 g,0.501 g,0.172 g,2.300 g,0.288 g,0.187 g,0,0.365 g,0.623 g,0.329 g,0.175 g,0.416 g,0.778 g,0.440 g,0.284 g,0.099 g,0.271 g,0.410 g,45.80 g,2.6 g,11.26 g,0,0,0,0,0,0,21.00 g,11.659 g,5.525 g,1.094 g,67.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,23.20 g
304,"Carrot, dehydrated",100 g,341,1.5g,0.3g,0,275.00 mg,72.1 mg,55.00 mcg,0.00 mcg,6.567 mg,1.471 mg,0.417 mg,0.534 mg,68466.00 IU,3423.00 mcg,14251.00 mcg,33954.00 mcg,0.00 mcg,1051.00 mcg,0,0.00 mcg,1.040 mg,14.6 mg,0.00 IU,5.45 mg,5.45 mg,108.0 mcg,212.00 mg,0.370 mg,3.93 mg,118.00 mg,1.116 mg,346.00 mg,2540.00 mg,8.6 mcg,1.57 mg,8.10 g,0.464 g,0.338 g,1.077 g,0.063 g,1.589 g,0,0.126 g,0,0.323 g,0.338 g,0.315 g,0.056 g,0.251 g,0.228 g,0.275 g,0.299 g,0.087 g,0.157 g,0.346 g,79.57 g,23.6 g,38.82 g,0,0,0,0,0,0,1.49 g,0.256 g,0.076 g,0.730 g,0.00 mg,0.0 g,6.84 g,0.00 mg,0.00 mg,4.00 g
305,"Vinegar, distilled",100 g,18,0g,,0,2.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,6.00 mg,0.006 mg,0.03 mg,1.00 mg,0.055 mg,4.00 mg,2.00 mg,0.5 mcg,0.01 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04 g,0.0 g,0.04 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.02 g,0.00 mg,0.00 mg,94.78 g
306,"Sapote, raw, mamey",100 g,124,0.5g,0.2g,0,7.00 mg,0,7.00 mcg,0,1.432 mg,0.397 mg,0.116 mg,0.013 mg,143.00 IU,7.00 mcg,0.00 mcg,82.00 mcg,7.00 mcg,204.00 mcg,0,0.00 mcg,0.720 mg,23.0 mg,0,2.11 mg,2.11 mg,0,18.00 mg,0.213 mg,0.78 mg,11.00 mg,0.204 mg,26.00 mg,454.00 mg,0,0.19 mg,1.45 g,0.073 g,0.049 g,0.147 g,0.012 g,0.147 g,0.073 g,0.049 g,0,0.061 g,0.073 g,0.073 g,0.024 g,0.061 g,0.085 g,0.195 g,0.085 g,0.049 g,0.049 g,0.073 g,32.10 g,5.4 g,20.14 g,7.66 g,0.00 g,8.01 g,0.00 g,0.38 g,4.09 g,0.46 g,0.169 g,0.102 g,0.097 g,0.00 mg,0,1.12 g,0,0,64.87 g
307,"Soy flour, low-fat",100 g,372,8.9g,1.3g,0,9.00 mg,191.7 mg,289.00 mcg,0.00 mcg,2.950 mg,1.550 mg,0.280 mg,1.088 mg,40.00 IU,2.00 mcg,0.00 mcg,24.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,1.050 mg,0.0 mg,0.00 IU,0.55 mg,0.55 mg,3.9 mcg,285.00 mg,1.600 mg,8.20 mg,285.00 mg,3.150 mg,675.00 mg,2090.00 mg,58.9 mcg,4.10 mg,49.81 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.63 g,16.0 g,9.33 g,0,0,0,0,0,0,8.90 g,1.290 g,1.460 g,4.215 g,0.00 mg,0.0 g,6.04 g,0.00 mg,0.00 mg,4.61 g
308,"Syrups, sugar free",100 g,52,0g,,0,210.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0.002 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.5 mcg,0.00 mg,0.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13 g,0.7 g,0.01 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.07 g,0.00 mg,0.00 mg,87.00 g
309,"Syrups, dark, corn",100 g,286,0g,,0,155.00 mg,13.3 mg,0.00 mcg,0.00 mcg,0.020 mg,0.023 mg,0.009 mg,0.011 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.009 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,18.00 mg,0.053 mg,0.37 mg,8.00 mg,0.100 mg,11.00 mg,44.00 mg,2.9 mcg,0.04 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.59 g,0.0 g,77.59 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.40 g,0.00 mg,0.00 mg,22.01 g
310,"Taco shells, baked",100 g,476,22g,7.1g,0,324.00 mg,29.9 mg,69.00 mcg,24.00 mcg,1.867 mg,0,0.080 mg,0.216 mg,17.00 IU,1.00 mcg,3.00 mcg,3.00 mcg,13.00 mcg,106.00 mcg,0,0.00 mcg,0.203 mg,0.0 mg,0.00 IU,0.69 mg,0.69 mg,8.6 mcg,100.00 mg,0.113 mg,1.64 mg,83.00 mg,0.560 mg,233.00 mg,231.00 mg,4.8 mcg,1.61 mg,6.41 g,0.457 g,0.287 g,0.540 g,0.140 g,1.257 g,0.250 g,0.167 g,0.000 g,0.220 g,0.837 g,0.197 g,0.180 g,0.290 g,0.770 g,0.367 g,0.227 g,0.040 g,0.223 g,0.287 g,63.49 g,6.7 g,1.50 g,0.10 g,0.10 g,0.10 g,0.10 g,0.10 g,1.00 g,21.79 g,7.105 g,6.935 g,5.495 g,0.00 mg,0.0 g,1.90 g,0.00 mg,0.00 mg,6.40 g
311,"Spices, cumin seed",100 g,375,22g,1.5g,0,168.00 mg,24.7 mg,10.00 mcg,0.00 mcg,4.579 mg,0,0.327 mg,0.628 mg,1270.00 IU,64.00 mcg,0.00 mcg,762.00 mcg,0.00 mcg,448.00 mcg,0,0.00 mcg,0.435 mg,7.7 mg,0.00 IU,3.33 mg,3.33 mg,5.4 mcg,931.00 mg,0.867 mg,66.36 mg,366.00 mg,3.333 mg,499.00 mg,1788.00 mg,5.2 mcg,4.80 mg,17.81 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.24 g,10.5 g,2.25 g,0,0,0,0,0,0,22.27 g,1.535 g,14.040 g,3.279 g,0.00 mg,0.0 g,7.62 g,0.00 mg,0.00 mg,8.06 g
312,"Bamboo shoots, raw",100 g,27,0.3g,0.1g,0,4.00 mg,0.0 mg,7.00 mcg,0.00 mcg,0.600 mg,0.161 mg,0.070 mg,0.150 mg,20.00 IU,1.00 mcg,0.00 mcg,12.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.240 mg,4.0 mg,0.00 IU,1.00 mg,1.00 mg,0.0 mcg,13.00 mg,0.190 mg,0.50 mg,3.00 mg,0.262 mg,59.00 mg,533.00 mg,0.8 mcg,1.10 mg,2.60 g,0.124 g,0.097 g,0.425 g,0.022 g,0.248 g,0.087 g,0.042 g,0,0.088 g,0.140 g,0.134 g,0.030 g,0.090 g,0.219 g,0.127 g,0.086 g,0.027 g,0,0.106 g,5.20 g,2.2 g,3.00 g,0,0,0,0,0,0,0.30 g,0.069 g,0.007 g,0.134 g,0.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,91.00 g
313,"Fish, raw, lingcod",100 g,85,1.1g,0.2g,52mg,59.00 mg,0,9.00 mcg,0.00 mcg,1.900 mg,0.750 mg,0.114 mg,0.030 mg,50.00 IU,15.00 mcg,0,0,0,0,0,3.60 mcg,0.300 mg,0.0 mg,0,0,0,0,14.00 mg,0.027 mg,0.32 mg,26.00 mg,0.020 mg,201.00 mg,437.00 mg,36.5 mcg,0.45 mg,17.66 g,1.068 g,1.057 g,1.808 g,0.189 g,2.636 g,0.848 g,0.520 g,0,0.814 g,1.435 g,1.622 g,0.523 g,0.689 g,0.624 g,0.720 g,0.774 g,0.198 g,0.596 g,0.910 g,0.00 g,0.0 g,0,0,0,0,0,0,0,1.06 g,0.197 g,0.350 g,0.300 g,52.00 mg,0.0 g,1.21 g,0,0,81.03 g
314,"Whey, dried, sweet",100 g,353,1.1g,0.7g,6mg,1079.00 mg,225.0 mg,12.00 mcg,0.00 mcg,1.258 mg,5.620 mg,2.208 mg,0.519 mg,30.00 IU,8.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,0.00 mcg,0,2.37 mcg,0.584 mg,1.5 mg,0.00 IU,0.02 mg,0.02 mg,0.1 mcg,796.00 mg,0.070 mg,0.88 mg,176.00 mg,0.009 mg,932.00 mg,2080.00 mg,27.2 mcg,1.97 mg,12.93 g,0.598 g,0.375 g,1.269 g,0.253 g,2.248 g,0.280 g,0.237 g,0,0.719 g,1.186 g,1.030 g,0.241 g,0.407 g,0.786 g,0.622 g,0.817 g,0.205 g,0.363 g,0.697 g,74.46 g,0.0 g,74.46 g,0,0,0,0,0,0,1.07 g,0.684 g,0.297 g,0.034 g,6.00 mg,0.0 g,8.35 g,0.00 mg,0.00 mg,3.19 g
315,"Whey, fluid, sweet",100 g,27,0.4g,0.2g,2mg,54.00 mg,16.0 mg,1.00 mcg,0.00 mcg,0.074 mg,0.383 mg,0.158 mg,0.036 mg,12.00 IU,3.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,0.00 mcg,0,0.28 mcg,0.031 mg,0.1 mg,0,0.00 mg,0.00 mg,0.0 mcg,47.00 mg,0.004 mg,0.06 mg,8.00 mg,0.001 mg,46.00 mg,161.00 mg,1.9 mcg,0.13 mg,0.85 g,0.039 g,0.025 g,0.083 g,0.017 g,0.148 g,0.018 g,0.016 g,0,0.047 g,0.078 g,0.068 g,0.016 g,0.027 g,0.052 g,0.041 g,0.054 g,0.013 g,0.024 g,0.046 g,5.14 g,0.0 g,5.14 g,0,0,0,0,0,0,0.36 g,0.230 g,0.100 g,0.011 g,2.00 mg,0.0 g,0.53 g,0.00 mg,0.00 mg,93.12 g
316,"Spices, poppy seed",100 g,525,42g,4.5g,0,26.00 mg,8.8 mg,82.00 mcg,0.00 mcg,0.896 mg,0.324 mg,0.100 mg,0.854 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.247 mg,1.0 mg,0.00 IU,1.77 mg,1.77 mg,0.0 mcg,1438.00 mg,1.627 mg,9.76 mg,347.00 mg,6.707 mg,870.00 mg,719.00 mg,13.5 mcg,7.90 mg,17.99 g,0.839 g,1.945 g,2.365 g,0.297 g,4.299 g,0.952 g,0.471 g,0.000 g,0.819 g,1.321 g,0.952 g,0.502 g,0.758 g,2.754 g,0.952 g,0.686 g,0.184 g,0.727 g,1.095 g,28.13 g,19.5 g,2.99 g,0.29 g,0.00 g,0.37 g,0.00 g,0.00 g,2.33 g,41.56 g,4.517 g,5.982 g,28.569 g,0.00 mg,0.0 g,6.37 g,0.00 mg,0.00 mg,5.95 g
317,"Babyfood, pretzels",100 g,397,2g,0.4g,0,269.00 mg,0.0 mg,85.00 mcg,65.00 mcg,3.560 mg,0.540 mg,0.357 mg,0.463 mg,8.00 IU,0.00 mcg,1.00 mcg,4.00 mcg,1.00 mcg,72.00 mcg,0,0.00 mcg,0.083 mg,3.8 mg,0.00 IU,0.28 mg,0.28 mg,0.3 mcg,25.00 mg,0.145 mg,3.77 mg,28.00 mg,0,110.00 mg,137.00 mg,7.6 mcg,0.78 mg,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.20 g,2.3 g,3.08 g,0,0,0,0,0,0,2.00 g,0.400 g,0.238 g,1.054 g,0.00 mg,0.0 g,1.00 g,0.00 mg,0.00 mg,4.00 g
318,"Fat, mutton tallow",100 g,902,100g,47g,102mg,0.00 mg,79.8 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,28.00 IU,2.80 mg,2.80 mg,0.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.2 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,47.300 g,40.600 g,7.800 g,102.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
319,"Coffeecake, cheese",100 g,339,15g,5.4g,85mg,339.00 mg,0,39.00 mcg,20.00 mcg,0.682 mg,0.400 mg,0.125 mg,0.105 mg,287.00 IU,86.00 mcg,0,0,0,0,0,0.34 mcg,0.058 mg,0.1 mg,0,0,0,0,59.00 mg,0.052 mg,0.64 mg,15.00 mg,0.172 mg,101.00 mg,289.00 mg,13.3 mcg,0.59 mg,7.00 g,0.255 g,0.299 g,0.470 g,0.110 g,1.751 g,0.212 g,0.186 g,0,0.326 g,0.568 g,0.401 g,0.144 g,0.352 g,0.625 g,0.373 g,0.260 g,0.076 g,0.263 g,0.361 g,44.30 g,1.0 g,0,0,0,0,0,0,0,15.20 g,5.391 g,7.129 g,1.645 g,85.00 mg,0.0 g,1.20 g,0,0,32.20 g
320,"Sauce, horseradish",100 g,503,51g,8.2g,50mg,730.00 mg,38.4 mg,1.00 mcg,0.00 mcg,0.115 mg,0.000 mg,0.045 mg,0.050 mg,66.00 IU,17.00 mcg,2.00 mcg,4.00 mcg,2.00 mcg,51.00 mcg,0,0.09 mcg,0.037 mg,0.2 mg,10.00 IU,4.19 mg,4.19 mg,90.9 mcg,12.00 mg,0.018 mg,0.23 mg,6.00 mg,0.045 mg,19.00 mg,44.00 mg,2.2 mcg,0.17 mg,1.09 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05 g,1.0 g,8.98 g,4.02 g,0.00 g,4.08 g,0.00 g,0.00 g,0.88 g,50.89 g,8.233 g,13.087 g,29.169 g,50.00 mg,0.0 g,2.14 g,0.00 mg,0.00 mg,35.83 g
321,"Yardlong bean, raw",100 g,47,0.4g,0.1g,0,4.00 mg,0,62.00 mcg,0.00 mcg,0.410 mg,0.055 mg,0.110 mg,0.107 mg,865.00 IU,43.00 mcg,0,0,0,0,0,0.00 mcg,0.024 mg,18.8 mg,0.00 IU,0,0,0,50.00 mg,0.048 mg,0.47 mg,44.00 mg,0.205 mg,59.00 mg,240.00 mg,1.5 mcg,0.37 mg,2.80 g,0,0.196 g,0,0.042 g,0,0,0.090 g,0,0.150 g,0.200 g,0.184 g,0.040 g,0.154 g,0,0,0.104 g,0.032 g,0.115 g,0.162 g,8.35 g,0,0,0,0,0,0,0,0,0.40 g,0.105 g,0.036 g,0.169 g,0.00 mg,0,0.60 g,0,0,87.85 g
322,"Cress, raw, garden",100 g,32,0.7g,,0,14.00 mg,19.5 mg,80.00 mcg,0.00 mcg,1.000 mg,0.242 mg,0.260 mg,0.080 mg,6917.00 IU,346.00 mcg,0.00 mcg,4150.00 mcg,0.00 mcg,12500.00 mcg,0,0.00 mcg,0.247 mg,69.0 mg,0.00 IU,0.70 mg,0.70 mg,541.9 mcg,81.00 mg,0.170 mg,1.30 mg,38.00 mg,0.553 mg,76.00 mg,606.00 mg,0.9 mcg,0.23 mg,2.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50 g,1.1 g,4.40 g,0,0,0,0,0,0,0.70 g,0.023 g,0.239 g,0.228 g,0.00 mg,0.0 g,1.80 g,0.00 mg,0.00 mg,89.40 g
323,"Dates, deglet noor",100 g,282,0.4g,,0,2.00 mg,6.3 mg,19.00 mcg,0.00 mcg,1.274 mg,0.589 mg,0.066 mg,0.052 mg,10.00 IU,0.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,75.00 mcg,0,0.00 mcg,0.165 mg,0.4 mg,0.00 IU,0.05 mg,0.05 mg,2.7 mcg,39.00 mg,0.206 mg,1.02 mg,43.00 mg,0.262 mg,62.00 mg,656.00 mg,3.0 mcg,0.29 mg,2.45 g,0.083 g,0.136 g,0.213 g,0.067 g,0.359 g,0.101 g,0.032 g,0,0.049 g,0.084 g,0.066 g,0.022 g,0.050 g,0.130 g,0.057 g,0.043 g,0.012 g,0.015 g,0.071 g,75.03 g,8.0 g,63.35 g,19.56 g,0.00 g,19.87 g,0.00 g,0.12 g,23.84 g,0.39 g,0.032 g,0.036 g,0.019 g,0.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,20.53 g
324,"Lambsquarters, raw",100 g,43,0.8g,0.1g,0,43.00 mg,0,30.00 mcg,0.00 mcg,1.200 mg,0.092 mg,0.440 mg,0.160 mg,11600.00 IU,580.00 mcg,0,0,0,0,0,0.00 mcg,0.274 mg,80.0 mg,0.00 IU,0,0,0,309.00 mg,0.293 mg,1.20 mg,34.00 mg,0.782 mg,72.00 mg,452.00 mg,0.9 mcg,0.44 mg,4.20 g,0.322 g,0.253 g,0.431 g,0.089 g,0.521 g,0.249 g,0.116 g,0,0.253 g,0.350 g,0.354 g,0.049 g,0.166 g,0.223 g,0.200 g,0.163 g,0.038 g,0.175 g,0.226 g,7.30 g,4.0 g,0,0,0,0,0,0,0,0.80 g,0.059 g,0.150 g,0.351 g,0.00 mg,0,3.40 g,0,0,84.30 g
325,"Gravy, dry, turkey",100 g,367,7.2g,2g,14mg,4392.00 mg,0,82.00 mcg,16.00 mcg,2.770 mg,1.012 mg,0.450 mg,0.211 mg,35.00 IU,8.00 mcg,0,0,0,0,0,0.58 mcg,0.204 mg,0.2 mg,0,0,0,0,146.00 mg,0.133 mg,3.29 mg,44.00 mg,0.219 mg,254.00 mg,428.00 mg,5.2 mcg,1.26 mg,10.42 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.12 g,0,0,0,0,0,0,0,0,7.19 g,1.975 g,2.575 g,2.196 g,14.00 mg,0.0 g,12.61 g,0,0,4.67 g
326,Vital wheat gluten,100 g,370,1.9g,0.3g,0,29.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,142.00 mg,0.182 mg,5.20 mg,25.00 mg,0,260.00 mg,100.00 mg,39.7 mcg,0.85 mg,75.16 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79 g,0.6 g,0.00 g,0,0,0,0,0,0,1.85 g,0.272 g,0.156 g,0.810 g,0.00 mg,0.0 g,1.00 g,0.00 mg,0.00 mg,8.20 g
327,"Turnip greens, raw",100 g,32,0.3g,0.1g,0,40.00 mg,0,194.00 mcg,0.00 mcg,0.600 mg,0.380 mg,0.100 mg,0.070 mg,11587.00 IU,579.00 mcg,0.00 mcg,6952.00 mcg,0.00 mcg,12825.00 mcg,0,0.00 mcg,0.263 mg,60.0 mg,0.00 IU,2.86 mg,2.86 mg,251.0 mcg,190.00 mg,0.350 mg,1.10 mg,31.00 mg,0.466 mg,42.00 mg,296.00 mg,1.2 mcg,0.19 mg,1.50 g,0.103 g,0.094 g,0.158 g,0.017 g,0.204 g,0.090 g,0.036 g,0,0.078 g,0.137 g,0.098 g,0.034 g,0.092 g,0.071 g,0.061 g,0.082 g,0.026 g,0.058 g,0.102 g,7.13 g,3.2 g,0.81 g,0.29 g,0,0.52 g,0,0,0,0.30 g,0.070 g,0.020 g,0.120 g,0.00 mg,0.0 g,1.40 g,0.00 mg,0.00 mg,89.67 g
328,"Sugars, granulated",100 g,387,0g,,0,1.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.019 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,1.00 mg,0.007 mg,0.05 mg,0.00 mg,0.004 mg,0.00 mg,2.00 mg,0.6 mcg,0.01 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.98 g,0.0 g,99.80 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,99.80 g,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.01 g,0.00 mg,0.00 mg,0.02 g
